Chinese; English
普林斯顿大学; Princeton University
麻省理工学院; Massachusetts Institute of Technology
哈佛大学; Harvard University
斯坦福大学; Stanford University
耶鲁大学; Yale University
芝加哥大学; University of Chicago
杜克大学; Duke University
约翰霍普金斯大学; Johns Hopkins University
西北大学; Northwestern University
宾夕法尼亚大学; University of Pennsylvania
加州理工学院; California Institute of Technology
康奈尔大学; Cornell University
布朗大学; Brown University
达特茅斯学院; Dartmouth College
哥伦比亚大学; Columbia University in the City of New York
加州大学伯克利分校; University of California, Berkeley
莱斯大学; Rice University
加州大学洛杉矶分校; University of California, Los Angeles
范德堡大学; Vanderbilt University
卡内基梅隆大学; Carnegie Mellon University
密歇根大学安娜堡分校; University of Michigan, Ann Arbor
圣母大学; University of Notre Dame
圣路易斯华盛顿大学; Washington University in St.Louis
埃默里大学; Emory University
乔治城大学; Georgetown University
北卡罗来纳州大学教堂山分校; University of North Carolina at Chapel Hill
弗吉尼亚大学; University of Virginia
南加州大学; University of Southern California
加州大学圣地亚哥分校; University of California-San Diego
佛罗里达大学; University of Florida
德克萨斯大学奥斯汀分校; University of Texas at Austin
威廉姆斯学院; Williams College
阿默斯特学院; Amherst College
斯沃斯莫尔学院; Swarthmore College
鲍登学院; Bowdoin College
克莱蒙特·麦肯纳学院; Claremont Mckenna College
波莫纳学院; Pomona College
威尔斯利学院; Wellesley College
卡尔顿学院; Carleton College
哈维穆德学院; Harvey Mudd College
牛津大学; University of Oxford
剑桥大学; Cambridge University
伦敦大学学院; University College London
帝国理工学院; Imperial College London
伦敦政治经济学院; The London School of Economics and Political Science
佐治亚理工学院; Georgia Institute of Technology
纽约大学商学院; NYU Stern School of Business
纽约大学帝势学院; Tisch School of the Arts,New York University
纽约大学; New York University
加州大学戴维斯分校; University of California, Davis
加州大学欧文分校; University of California Irvine
波士顿学院; Boston College
塔夫茨大学; Tufts University
伊利诺伊大学香槟分校; University of Illinois at Urbana-Champaign
威斯康星大学麦迪逊分校; University of Wisconsin-Madison
加州大学圣塔芭芭拉分校; University of California-Santa Barbara
俄亥俄州立大学哥伦布校区（主校区）; Ohio State University
波士顿大学; Boston University
罗格斯大学新布朗斯维克(主校区); Rutgers University New Brunswick
马里兰大学帕克分校; University of Maryland
华盛顿大学西雅图校区; University of Washington，Seattle
理海大学; Lehigh University
东北大学; Northeastern University
普渡大学; Purdue University, West Lafayette
佐治亚大学; University of Georgia
罗彻斯特大学; University of Rochester
巴纳德学院; Barnard College
戴维森学院; Davidson College
格林内尔学院; Grinnell College
汉密尔顿学院; Hamilton College
明德学院; Middlebury College
史密斯学院; Smith College
瓦萨学院; Vassar College
维思大学; Wesleyan University
华盛顿与李大学; Washington and Lee University
科尔盖特大学; Colgate University
里士满大学; University of Richmond
贝茨学院; Bates College
科尔比学院; Colby College
哈弗福德学院; Haverford College
圣十字学院; College of the Holy Cross
玛卡莱斯特学院; Macalester College
曼荷莲学院; Mount Holyoke College
布林茅尔学院; Bryn Mawr College
巴克内尔大学; Bucknell University
科罗拉多学院; Colorado College
拉法耶特学院; Lafayette College
凯斯西储大学; Case Western Reserve University
佛罗里达州立大学; Florida State University
德克萨斯农工大学; Texas A&M University
弗吉尼亚理工大学; Virginia Tech
维克森林大学; Wake Forest University
威廉玛丽学院; College of William and Mary
加州大学默塞德分校; University of California, Merced
维拉诺瓦大学; Villanova University
乔治·华盛顿大学; The George Washington University
宾州州立大学帕克分校; Pennsylvania State University, University Park
圣塔克拉拉大学; Santa Clara University
纽约州立大学石溪分校; Stony Brook University--SUNY
明尼苏达大学双城分校; University of Minnesota, Twin Cities
密歇根州立大学; Michigan State University
北卡罗莱纳州立大学; North Carolina State University
伦斯勒理工学院; Rensselaer Polytechnic Institute
马塞诸塞大学安姆斯特分校; University of Massachusetts, Amherst
迈阿密大学; University of Miami
布兰迪斯大学; Brandeis University
杜兰大学; Tulane University of Louisiana
康涅狄格大学; University of Connecticut
匹兹堡大学; University of Pittsburgh
纽约州立大学宾汉姆顿分校; SUNY Binghamton
印第安纳大学伯明顿分校; Indiana University Bloomington
克莱姆森大学; Clemson University
罗格斯大学纽瓦克分校; Rutgers, the State University of New Jersey-Newark
雪城大学; Syracuse University
纽约州立大学布法罗分校; University at Buffalo SUNY
加州大学河滨分校; University of California, Riverside
科罗拉多矿业学院; Colorado School of Mines
德雷塞尔大学; Drexel University
新泽西理工学院; New Jersey Institute of Technology
史蒂文斯理工学院; Stevens Institute of Technology
佩珀代因大学; Pepperdine University
伊利诺伊大学芝加哥分校; University of Illinois at Chicago
伍斯特理工学院; Worcester Polytechnic Institute
美利坚大学; American University
贝勒大学; Baylor University
马凯特大学; Marquette University
罗彻斯特理工学院; Rochester Institute of Technology
南卫理公会大学; Southern Methodist University
加州大学圣克鲁兹校区; University of California, Santa Cruz
特拉华大学; University of Delaware
南佛罗里达大学; University of South Florida
佛罗里达国际大学; Florida International University
福特汉姆大学; Fordham University
罗格斯大学卡姆登分校; Rutgers University-Camden
德克萨斯基督教大学; Texas Christian University
科罗拉多大学波尔多分校; University of Colorado Boulder
丹尼森大学; Denison University
富兰克林马歇尔学院; Franklin and Marshall College
西方学院; Occidental College
匹泽学院; Pitzer College
斯克利普斯学院; Scripps College
斯基德莫尔学院; Skidmore College
创价大学; Soka University of America
三一学院; Trinity College
三一大学; Trinity University
联合学院; Union College
狄金森学院; Dickinson College
福尔曼大学; Furman University
凯尼恩学院; Kenyon College
圣欧拉夫学院; St. Olaf College
瓦巴什学院; Wabash College
威顿学院; Wheaton College
香港大学; The University of Hong Kong 
香港科技大学; The Hong Kong University of Science and Technology
香港中文大学; The Chinese University of Hong Kong
香港城市大学; City University of Hong Kong
香港理工大学; Hong Kong Polytechnic University
香港浸会大学; Hong Kong Baptist University
香港岭南大学; Lingnan University
香港教育大学; The Education University of Hong Kong
多伦多大学; University of Toronto
滑铁卢大学; University of Waterloo
新加坡国立大学; National University of Singapore (NUS)
新加坡南洋理工大学; Nanyang Technological University, Singapore (NTU)
悉尼大学; The University of Sydney
英属哥伦比亚大学; The University of British Columbia
麦吉尔大学; McGill University
东京大学; The University of Tokyo
京都大学; Kyoto University
日本东北大学; Tohoku University
大阪大学; Osaka University
名古屋大学; Nagoya University
库伯联盟学院; The Cooper Union for the Advancement of Science and Art
萨凡纳艺术与设计学院; Savannah College of Art and Design
罗德岛设计学院; Rhode Island School of Design
麻省艺术与设计学院; Massachusetts College of Art and Design
芝加哥艺术学院; School of the Art Institute of Chicago
普瑞特艺术学院; Pratt Institute
马里兰艺术学院; Maryland Institute College of Art
奥蒂斯艺术设计学院; Otis College of Art and Design
伦敦艺术大学; University of the Arts London
新学院; The New School
格拉斯哥艺术学院; The Glasgow School of Art
艺术中心设计学院; Art Center College of Design
纽约视觉艺术学院; School of Visual Arts
加州艺术学院; California College of the Arts
帕森斯设计学院; Parsons School of Design
旧金山艺术大学; Academy of Art University
纽约电影学院; New York Film Academy
瑞林艺术设计学院; Ringling College of Art & Design
纽约时装技术学院; Fashion Institute of Technology
哥伦布艺术与设计学院; Columbus College of Art and Design
堪萨斯城艺术学院; Kansas City Art Institute
创意艺术大学; ‌University for the Creative Arts
新英格兰音乐学院; The New England Conservatory of Music
伯克利音乐学院; Berklee College of Music
旧金山音乐学院; San Francisco Conservatory of Music
印第安纳大学音乐学院; Indiana University Jacobs School of Music
曼哈顿音乐学院; Manhattan School of Music
克利夫兰音乐学院; Cleveland Institute of Music
洛杉矶音乐家学院; Musicians Institute
伯明翰皇家音乐学院; Royal Birmingham Conservatoire
洛杉矶音乐学院; Los Angeles College of Music
曼尼斯音乐学院; Mannes School of Music at The New School
英国皇家音乐学院; Royal College of Music
苏格兰皇家音乐学院; Royal Conservatoire of Scotland
南加州建筑学院; Southern California Institute of Architecture
复旦大学; Fudan University
巴德学院; Bard College
罗斯－豪曼理工学院; Rose-Hulman Institute of Technology
爱默生学院; Emerson College
巴布森学院; Babson College
亚利桑那州立大学; Arizona State University, Tempe
霍普学院; Hope College
丹佛大学; University of Denver
爱荷华大学; University of Iowa
天普大学; Temple University
密涅瓦大学; Minerva Schools at KGI
欧柏林学院; Oberlin College
霍特国际商学院; Hult International Business School
迈阿密大学牛津分校; Miami University, Oxford
查普曼大学; Chapman University
犹他大学; University of Utah
俄勒冈大学; University of Oregon
本特利大学; Bentley University
贝洛伊特学院; Beloit College
诺克斯学院; Knox College
洛约拉马利蒙特大学; Loyola Marymount University
爱丁堡大学; The University of Edinburgh
华威大学; The University of Warwick
纽约大学阿布扎比分校; New York University Abu Dhabi
圣安德鲁斯大学; University of St Andrews
杜伦大学; Durham University
曼彻斯特大学; The University of Manchester
拉夫堡大学; Loughborough University
利兹大学; The University of Leeds
格拉斯哥大学; University of Glasgow
伦敦大学皇家霍洛威学院; Royal Holloway University of London
南安普顿大学; University of Southampton
东安格利亚大学; University o fEast Anglia
谢菲尔德大学; The University of Sheffield
纽卡斯尔大学; Newcastle University
利物浦大学; University of Liverpool
卡迪夫大学; Cardiff University
雷丁大学; University of Reading
布里斯托大学; University of Bristol
麻省药科与健康科学大学; Massachusetts College of Pharmacy & Health Science
兰卡斯特大学; Lancaster University
伯明翰大学; University of Birmingham
约克大学; University of York
莱斯特大学; University of Leicester
埃塞克斯大学; University of Essex
迪堡大学; DePauw University
莎拉劳伦斯学院; Sarah Lawrence College
蒙纳士大学; Monash University
西北大学卡塔尔分校; Northwestern University in Qatar
克拉克大学; Clark University
里德学院; Reed College
诺丁汉大学; University of Nottingham
伦敦玛丽女王大学; Queen Mary, University of London
芝加哥洛约拉大学; Loyola University Chicago
布莱恩特大学; Bryant University
安博瑞德航空航天大学; Embry-Riddle Aeronautical University
默兰伯格学院; Muhlenberg College
纽约州立大学新帕尔兹分校; SUNY New Paltz
惠特曼学院; Whitman College
劳伦斯大学; Lawrence University
中佛罗里达大学; University of Central Florida
阿拉巴马大学; University of Alabama
奥本大学; Auburn University
爱荷华州立大学; Iowa State University
伊利诺伊州立大学; Illinois State University
肯塔基大学; University of Kentucky
密苏里大学; University of Missouri
德克萨斯州立大学; Texas State University
戴顿大学; University of Dayton
堪萨斯大学; University of Kansas
德州理工大学; Texas Tech University
南卡罗莱纳大学; University of South Carolina
北卡罗来纳大学（彭布罗克）; University of North Carolina at Pembroke
科罗拉多州立大学; Colorado State University
亚利桑那大学; University of Arizona
德克萨斯农工大学柯柏斯克里斯提学院; Texas A&M University-Corpus Christi
内华达大学拉斯维加斯分校; University of Nevada, Las Vegas
加州州立大学长滩分校; California State University, Long Beach
加州州立大学洛杉矶分校; California State University, Los Angeles
托莱多大学; University of Toledo
堪萨斯州立大学; Kansas State University
大峡谷大学; Grand Canyon University
新墨西哥州立大学; New Mexico State University
